Date,Open,High,Low,Close,Adj Close,Volume,Year,Month,Day
2022-02-15,41.0,43.52,40.73,43.5,43.5,6474000,2022,2,15
2022-02-16,43.01,44.5,42.81,43.82,43.82,7198400,2022,2,16
2022-02-17,43.16,43.96,42.37,42.9,42.9,4367400,2022,2,17
2022-02-18,42.9,43.11,41.04,41.26,41.26,5786900,2022,2,18
2022-02-19,42.9,43.11,41.04,41.26,41.26,0,2022,2,19
2022-02-20,42.9,43.11,41.04,41.26,41.26,0,2022,2,20
2022-02-21,42.9,43.11,41.04,41.26,41.26,0,2022,2,21
2022-02-22,40.84,41.38,37.82,38.88,38.88,9340500,2022,2,22
2022-02-23,39.24,39.58,37.29,37.43,37.43,5046000,2022,2,23
2022-02-24,34.82,38.81,34.58,38.77,38.77,8756600,2022,2,24
2022-02-25,39.15,39.2,37.64,38.61,38.61,6208500,2022,2,25
2022-02-26,39.15,39.2,37.64,38.61,38.61,0,2022,2,26
2022-02-27,39.15,39.2,37.64,38.61,38.61,0,2022,2,27
2022-02-28,38.15,39.43,37.92,38.94,38.94,6901400,2022,2,28
2022-03-01,38.51,38.61,36.52,37.68,37.68,5937400,2022,3,1
2022-03-02,38.05,39.07,37.46,38.93,38.93,4479200,2022,3,2
2022-03-03,38.94,39.4,36.57,36.98,36.98,4316000,2022,3,3
2022-03-04,36.46,37.08,34.7,35.28,35.28,7619000,2022,3,4
2022-03-05,36.46,37.08,34.7,35.28,35.28,0,2022,3,5
2022-03-06,36.46,37.08,34.7,35.28,35.28,0,2022,3,6
2022-03-07,36.92,38.07,34.44,34.48,34.48,8673500,2022,3,7
2022-03-08,34.4,37.74,34.13,36.54,36.54,8070900,2022,3,8
2022-03-09,38.01,39.43,37.47,37.8,37.8,7336400,2022,3,9
2022-03-10,36.83,37.95,36.61,37.63,37.63,3869200,2022,3,10
2022-03-11,38.07,38.39,37.18,37.25,37.25,2798800,2022,3,11
2022-03-12,38.07,38.39,37.18,37.25,37.25,0,2022,3,12
2022-03-13,38.07,38.39,37.18,37.25,37.25,0,2022,3,13
